genename	gene	chrom	start	end	strand	length
A1BG	ENSG00000121410.7	19	58856544	58864865	-	8321
A1CF	ENSG00000148584.10	10	52559169	52645435	-	86266
A2M	ENSG00000175899.10	12	9220260	9268825	-	48565
A2ML1	ENSG00000166535.15	12	8975068	9039597	+	64529
A3GALT2	ENSG00000184389.8	1	33772367	33786699	-	14332
A4GALT	ENSG00000128274.11	22	43088127	43117304	-	29177
A4GNT	ENSG00000118017.3	3	137842560	137851229	-	8669
AAAS	ENSG00000094914.8	12	53701240	53718648	-	17408
AACS	ENSG00000081760.12	12	125549925	125627873	+	77948
AADAC	ENSG00000114771.9	3	151531825	151546276	+	14451
AADACL2	ENSG00000197953.5	3	151451704	151479127	+	27423
AADACL4	ENSG00000204518.2	1	12704566	12727097	+	22531
AADAT	ENSG00000109576.9	4	170981373	171012850	-	31477
AAED1	ENSG00000158122.7	9	99401859	99417585	-	15726
AAGAB	ENSG00000103591.8	15	67493371	67547533	-	54162
AAK1	ENSG00000115977.14	2	69688532	69901481	-	212949
AAMDC	ENSG00000087884.10	11	77532155	77629478	+	97323
AAMP	ENSG00000127837.5	2	219128850	219134980	-	6130
AANAT	ENSG00000129673.5	17	74449433	74466199	+	16766
AAR2	ENSG00000131043.7	20	34824381	34858840	+	34459
AARD	ENSG00000205002.3	8	117950438	117956726	+	6288
AARS	ENSG00000090861.11	16	70286198	70323446	-	37248
AARS2	ENSG00000124608.4	6	44267391	44281063	-	13672
AARSD1	ENSG00000266967.2	17	41102543	41116515	-	13972
AASDH	ENSG00000157426.9	4	57204456	57253666	-	49210
AASDHPPT	ENSG00000149313.6	11	105946228	105969437	+	23209
AASS	ENSG00000008311.10	7	121715701	121784334	-	68633
AATF	ENSG00000108270.6	17	35306175	35414171	+	107996
AATK	ENSG00000181409.7	17	79091095	79139877	-	48782
ABAT	ENSG00000183044.7	16	8768422	8878432	+	110010
ABCA1	ENSG00000165029.11	9	107543283	107690518	-	147235
ABCA10	ENSG00000154263.13	17	67143355	67240987	-	97632
ABCA12	ENSG00000144452.10	2	215796266	216003151	-	206885
ABCA13	ENSG00000179869.10	7	48211055	48687092	+	476037
ABCA2	ENSG00000107331.12	9	139901686	139923367	-	21681
ABCA3	ENSG00000167972.9	16	2325882	2390747	-	64865
ABCA4	ENSG00000198691.7	1	94458393	94586688	-	128295
ABCA5	ENSG00000154265.11	17	67240452	67323385	-	82933
ABCA6	ENSG00000154262.8	17	67074843	67138029	-	63186
ABCA7	ENSG00000064687.8	19	1040102	1065571	+	25469
ABCA8	ENSG00000141338.9	17	66863433	66951533	-	88100
ABCA9	ENSG00000154258.12	17	66970629	67057205	-	86576
ABCB1	ENSG00000085563.10	7	87133175	87342611	-	209436
ABCB10	ENSG00000135776.4	1	229652329	229694442	-	42113
ABCB11	ENSG00000073734.8	2	169779448	169887832	-	108384
ABCB4	ENSG00000005471.11	7	87031013	87109751	-	78738
ABCB5	ENSG00000004846.12	7	20654830	20816658	+	161828
ABCB6	ENSG00000115657.8	2	220074490	220083712	-	9222
ABCB8	ENSG00000197150.8	7	150725510	150744869	+	19359
ABCB9	ENSG00000150967.13	12	123405498	123466196	-	60698
ABCC1	ENSG00000103222.14	16	16043434	16236931	+	193497
ABCC10	ENSG00000124574.10	6	43395104	43418168	+	23064
ABCC11	ENSG00000121270.11	16	48200821	48281479	-	80658
ABCC12	ENSG00000140798.11	16	48116884	48189929	-	73045
ABCC2	ENSG00000023839.6	10	101542489	101611949	+	69460
ABCC3	ENSG00000108846.11	17	48712138	48769613	+	57475
ABCC4	ENSG00000125257.9	13	95672083	95953687	-	281604
ABCC5	ENSG00000114770.12	3	183637722	183735803	-	98081
ABCC6	ENSG00000091262.10	16	16242785	16317379	-	74594
ABCC8	ENSG00000006071.7	11	17414432	17498449	-	84017
ABCC9	ENSG00000069431.6	12	21950335	22094336	-	144001
ABCD2	ENSG00000173208.3	12	39943835	40013553	-	69718
ABCD3	ENSG00000117528.7	1	94883933	94984222	+	100289
ABCD4	ENSG00000119688.16	14	74752126	74769759	-	17633
ABCE1	ENSG00000164163.6	4	146019084	146050331	+	31247
ABCF1	ENSG00000204574.8	6	30539153	30564956	+	25803
ABCF2	ENSG00000033050.3	7	150904923	150924316	-	19393
ABCF3	ENSG00000161204.7	3	183903811	183911800	+	7989
ABCG1	ENSG00000160179.14	21	43619799	43717354	+	97555
ABCG2	ENSG00000118777.6	4	89011416	89152474	-	141058
ABCG4	ENSG00000172350.5	11	119019722	119033360	+	13638
ABCG5	ENSG00000138075.7	2	44039611	44066004	-	26393
ABCG8	ENSG00000143921.6	2	44066103	44105605	+	39502
ABHD1	ENSG00000143994.9	2	27346682	27353680	+	6998
ABHD10	ENSG00000144827.4	3	111697857	111712210	+	14353
ABHD11	ENSG00000106077.14	7	73150424	73153197	-	2773
ABHD12	ENSG00000100997.14	20	25275379	25371619	-	96240
ABHD12B	ENSG00000131969.10	14	51338878	51371688	+	32810
ABHD13	ENSG00000139826.5	13	108870727	108886603	+	15876
ABHD14A	ENSG00000248487.4	3	52005442	52015212	+	9770
ABHD14B	ENSG00000114779.15	3	52002526	52017425	-	14899
ABHD15	ENSG00000168792.4	17	27887565	27894155	-	6590
ABHD16A	ENSG00000204427.7	6	31654726	31671221	-	16495
ABHD16B	ENSG00000183260.5	20	62492566	62494341	+	1775
ABHD17A	ENSG00000129968.11	19	1876809	1885546	-	8737
ABHD17B	ENSG00000107362.9	9	74477368	74525847	-	48479
ABHD17C	ENSG00000136379.7	15	80972025	81047962	+	75937
ABHD2	ENSG00000140526.12	15	89630690	89745591	+	114901
ABHD3	ENSG00000158201.5	18	19230858	19284766	-	53908
